timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
631040,-802,-494,27,-1266,6506,1413,-394,-431,686,-1402,5947,-1446
631086,-781,-524,-8,434,6711,1482,-496,-462,587,-984,10185,566
631127,-802,-491,-71,658,3850,258,-534,-474,554,-15,5509,-1586
631166,-786,-530,-58,807,1716,-548,-415,-640,820,2245,7691,-2112
631207,-809,-492,-53,2990,763,990,-465,-418,893,525,12513,-654
631245,-767,-520,1,2746,1880,758,-397,-259,1284,-1687,17403,-2215
631283,-824,-520,-1,1788,5287,-704,-448,-418,545,-7595,25012,-5794
631325,-795,-509,-5,1367,8461,-2888,-456,-148,559,-5979,21760,-10651
631369,-741,-431,-121,837,11624,-6190,-546,-254,-473,-12345,21032,-18548
631406,-614,-448,-246,-2764,10318,-12570,-513,-168,-525,-13778,10371,-23167
631445,-371,-399,-519,-11319,4338,-24286,-696,1904,-2000,-25013,-7494,-25013
631486,-1379,93,-1956,-25013,-25013,-25013,1999,1255,-2000,-25013,-25013,-25013
631525,458,-942,-561,-25013,-25013,-25013,1999,-2000,1398,25012,-25013,-25013
631566,1806,-1642,-55,25012,5906,-3763,1999,1310,1999,25012,13087,-25013
631603,-650,-390,71,-14573,-2664,4176,-143,568,-2000,-25013,15081,12751
631640,-183,-1733,-156,-7589,-3055,71,-57,-292,683,11825,-4639,-3623
631685,-177,-849,-274,10993,151,-1180,288,-1525,-218,5694,3046,-5051
631724,-146,-1031,-132,1225,-13,-54,231,-1171,230,1396,-2299,410
631764,-115,-1005,-266,-103,2483,1677,124,-1053,-43,1455,1918,2272
631807,-122,-988,-275,460,3116,2316,57,-961,-211,3327,1016,1798
631847,-177,-991,-206,2299,2327,2346,79,-963,-30,6166,-2699,-1315
631885,-169,-1019,-199,4487,3727,2971,140,-1033,222,10399,-229,-3119
631925,-193,-1100,-166,10151,5829,5123,135,-849,111,17748,1845,-5580
631965,-203,-1089,-145,15343,7810,8894,126,-1101,129,22132,-3285,-9386
632002,-302,-1019,-111,17091,5936,9621,152,-621,618,21958,-3382,-9526
