timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
335165,-537,-838,-208,2116,4216,5509,-124,-1070,599,3188,15216,4677
335205,-534,-860,-224,2683,2936,5719,-161,-1027,363,4025,21338,4786
335244,-599,-791,-188,5014,2243,6742,-272,-1025,-66,4691,18179,5533
335282,-568,-757,-200,4633,843,6811,-218,-898,352,5357,19366,6723
335321,-601,-715,-142,6958,1435,7887,-389,-868,-152,6598,15562,7800
335366,-619,-708,-53,8948,4308,8273,-378,-641,559,9682,15512,4964
335400,-563,-623,50,15268,14233,7897,-483,-508,661,7432,20117,3420
335446,-588,-375,-275,2292,11500,-3161,-898,566,-942,-5676,8793,-6035
335484,6,-369,-1150,-14579,-1788,-25013,-851,1731,-2000,-25013,7329,-24731
335523,-1388,-14,-1304,-25013,-25013,-25013,1999,-930,-2000,-25013,-25013,-25013
335562,747,-1031,-1806,-25013,-25013,-25013,1999,-2000,1607,25012,-25013,-24299
335603,369,-940,193,25012,-25013,-18397,1999,1391,1999,25012,-25013,-23421
335644,318,-625,729,-14727,1617,4391,1999,-2000,1999,-22374,25012,25012
335684,65,-1481,225,-8650,8191,6760,774,384,-1437,-10659,25012,11517
335727,-54,-1027,-104,-3562,6364,3635,-67,-1092,-1596,474,-4959,2803
335765,-122,-1079,-185,-130,2247,819,-68,-718,437,1883,-11535,-4577
335805,-80,-1047,-263,2461,3464,-51,-12,-1204,487,1818,4234,-3326
335845,-102,-1006,-176,3475,2383,-38,30,-1022,-245,1712,1746,-1346
335887,-113,-946,-131,488,2164,1010,55,-1055,291,1203,-936,620
335921,-109,-984,-118,-60,4470,1898,29,-1080,416,207,3358,152
335965,-151,-904,-193,-993,5654,2449,-100,-719,62,-563,6530,1519
336008,-154,-930,-212,-419,5047,1284,-120,-944,-103,-323,4777,-560
336045,-174,-954,-205,85,2251,393,-84,-1014,-199,-258,1437,-531
336087,-172,-980,-183,176,879,-16,-22,-989,233,323,-1296,-1170
