timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
649006,-627,-311,532,11885,18206,18085,170,-532,1173,14829,25012,9484
649042,-956,102,231,8324,20280,13774,-879,311,-1049,3506,25012,16334
649085,-831,14,43,5603,11091,4674,-674,-10,920,1310,12894,-2341
649127,-828,18,34,3047,12200,2383,-1042,267,-561,-2849,13140,480
649165,-831,87,-96,-1516,3590,-3344,-870,460,228,-5538,209,-5877
649205,-842,-99,-13,-2812,5018,-6194,-761,-495,74,-3644,3003,-9014
649245,-837,-76,-46,-1593,3725,-5467,-881,231,496,-5748,2170,-4084
649286,-772,-1,-43,-5573,7770,-13000,-758,381,457,-11629,8882,-17019
649325,-807,-184,-45,-5693,9956,-17251,-689,-187,189,-12822,6587,-17802
649368,-546,-156,-333,-9794,13570,-25013,-572,1370,-728,-25013,6348,-25013
649407,194,-133,-1012,-24130,10891,-25013,699,1999,-2000,-25013,17278,-25013
649447,-504,-552,-2000,-25013,-25013,-25013,1999,-1664,-2000,-25013,-25013,-25013
649486,442,-1533,-936,-997,-25013,-25013,1999,-2000,1999,25012,-25013,-25013
649527,497,-1321,-47,10388,-18258,-21838,1999,-2000,1999,21711,6065,2489
649565,-149,-1128,347,-19665,-11185,-483,581,-13,-1078,-25013,12727,23523
649606,-112,-1656,65,-11694,-5418,551,73,-511,419,3108,-13626,-1233
649644,-101,-1200,-136,4361,-1450,-1458,260,-1448,440,4848,3122,-5264
649684,-166,-1151,-37,4950,413,222,325,-1579,139,2764,-1112,-74
649725,-148,-1126,-133,-1115,4474,3919,216,-1131,304,802,3103,4189
649764,-114,-1105,-238,180,9048,6053,111,-1038,-87,1904,10270,2982
649808,-195,-1092,-278,3724,7953,6327,-44,-974,-516,8341,7773,-699
649845,-208,-1084,-262,10531,5331,7025,-5,-924,21,17548,4958,-4880
649884,-217,-1004,-201,15781,7661,8739,98,-848,232,18384,7610,-6908
649926,-197,-1022,-168,20398,11005,11230,258,-1090,699,25012,15311,-11389
649963,-238,-1034,-91,25012,12932,16554,280,-1270,385,25012,25012,-10721
