timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
1144005,-60,-771,-569,-594,2403,-754,-190,-1021,-121,-1319,1182,-251
1144044,-98,-904,-615,438,29,-351,-174,-1139,-79,1375,-31,9
1144084,-104,-967,-611,2325,-1017,191,-152,-1178,63,2966,-916,-1311
1144123,-123,-1059,-589,5458,-1290,1778,-177,-1108,54,9106,401,-3939
1144164,-157,-1353,-560,20545,-2213,6548,-215,-1062,-90,25012,4493,-11777
1144204,-185,-1204,-510,25012,-5008,11183,-145,-823,203,25012,2809,-17660
1144244,-201,-1008,-215,25012,-8358,12899,138,-494,633,25012,3494,-19674
1144284,-209,-778,175,25012,-5915,16154,284,-493,911,25012,4025,-21238
1144325,-117,-506,373,25012,-6197,23690,286,32,577,25012,14360,-14439
1144361,-146,116,217,25012,-1468,25012,-25,-100,113,25012,14154,-8336
1144404,-83,637,145,25012,-11244,25012,120,836,-1172,25012,9708,9051
1144446,68,891,-514,25012,-18848,25012,-111,-53,-2000,25012,8865,20997
1144483,-69,1646,-599,25012,-25013,21598,1999,1999,-2000,25012,-25013,25012
1144525,1161,1999,-383,16022,-25013,-19526,1999,1323,1728,-4904,-25013,-25013
1144568,874,479,774,9299,-25013,-5804,1999,699,1910,2744,-25013,10842
1144604,423,1126,708,-9683,-8071,1929,852,1399,1825,-3274,12948,14370
1144646,287,801,493,3212,668,227,455,1400,-1414,-550,15087,-10845
1144685,75,1000,234,-7169,4502,1885,292,845,684,-1524,10155,11993
1144725,167,1007,246,-8018,4641,2519,287,1129,-499,-4867,13021,5524
1144766,116,888,151,-10354,8743,1704,275,976,67,-6016,14318,2727
1144807,158,1263,237,-13280,10985,2325,528,758,35,-12846,13822,12932
1144844,108,906,214,-25013,13778,2235,538,1447,274,-16942,22843,12270
1144886,158,1002,550,-22242,14910,2164,520,977,-329,-17258,13498,14225
1144926,1,1010,462,-25013,12428,-675,475,1209,472,-24716,13548,18991
