timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
1098766,-99,-863,-843,10232,-437,4386,-362,-1165,-369,13852,1157,-4873
1098805,-124,-816,-827,15813,-3748,6351,-345,-1160,-226,20064,837,-3451
1098846,-128,-1107,-769,25012,-5958,9467,-272,-1098,-122,25012,1316,-10654
1098885,-187,-1054,-667,25012,-8247,14349,-279,-884,-61,25012,409,-10605
1098924,-263,-1019,-385,25012,-11333,17265,-175,-699,112,25012,-2865,-9690
1098962,-372,-985,-86,25012,-12489,20545,-67,-219,661,25012,-2143,-15218
1099006,-367,-423,276,25012,-14612,22847,91,425,699,25012,-4461,-7827
1099046,-268,-214,413,25012,-11261,25012,109,757,510,25012,-3996,-11887
1099085,-185,542,389,25012,-9342,25012,237,1207,1162,25012,3301,-6106
1099124,-36,830,590,25012,-1253,19766,323,753,771,25012,16982,-8474
1099165,51,975,266,24406,6612,18404,-91,382,-137,25012,23187,2158
1099206,-369,1414,-1071,16520,-22997,4974,-169,738,-2000,-1375,25012,12748
1099245,-119,1221,-904,25012,-25013,-2809,1999,1999,-2000,25012,-25013,25012
1099286,683,1884,-27,11329,-25013,-14629,1999,549,1999,2229,-25013,3092
1099326,933,680,939,1235,-23335,-2307,1991,1265,1999,282,8266,10725
1099366,503,758,655,380,-2461,4561,973,1767,-1744,-6919,25012,766
1099406,115,1191,541,1817,-3019,666,568,600,-805,2303,-20629,4676
1099444,161,1099,456,-5751,115,2818,666,1031,1746,-3891,593,6973
1099486,164,967,391,-6792,7293,4616,578,1110,-370,-4379,20516,2206
1099523,158,1262,456,-14468,11283,5759,686,809,466,-11361,8385,11994
1099566,296,759,505,-17268,21032,5691,848,1317,411,-7994,24822,1234
1099606,201,1386,635,-20350,25012,7625,1138,276,66,-20963,21067,20743
1099646,-43,1059,320,-25013,24581,6277,801,1985,709,-25013,25012,25012
1099688,-103,406,690,-25013,13267,605,743,964,-234,-25013,19343,25012
