timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
1187526,-346,-961,-129,25012,-6157,16909,0,-614,564,25012,-2102,-22554
1187565,-558,-630,-25,25012,-12281,22147,-175,226,603,25012,-5410,-22358
1187605,-283,-249,321,25012,-22621,23067,497,606,1025,25012,-1595,-13951
1187647,-126,502,735,25012,-14080,22659,270,1154,612,25012,3951,-11711
1187687,-126,679,504,25012,-6457,18677,42,1193,323,25012,-2539,-10754
1187727,18,998,388,25012,-4544,11923,376,1241,1227,25012,6302,-8077
1187761,112,782,497,17818,2836,7602,377,734,565,14773,25012,-12026
1187804,121,672,57,10100,9190,6216,185,263,-71,9724,21442,-10085
1187847,27,1080,-973,11868,-2746,8528,105,-438,-2000,12237,25012,6282
1187886,-8,1390,-1312,18432,-25013,4634,1999,-321,-2000,18989,-25013,22385
1187925,1125,1816,-877,25012,-25013,-3831,1999,1999,-1345,16432,-25013,25012
1187966,917,960,324,2745,-25013,-6625,1999,1821,1999,25012,-25013,23729
1188003,720,1197,1151,3258,-12090,1909,1134,1535,-239,-22180,25012,509
1188046,389,707,878,-1006,-4114,1068,537,984,-676,8214,-9094,493
1188084,199,1332,642,-4287,632,1512,403,1250,1724,-8412,8956,8148
1188127,123,851,306,-4736,7427,2474,180,957,-939,-1439,15680,1522
1188166,32,1194,242,-14070,5759,2410,296,979,198,-13580,5084,8561
1188204,116,969,204,-15532,12750,3534,334,1414,123,-11622,13929,7092
1188243,45,1179,195,-23996,20050,2119,337,1303,-52,-25013,17075,6206
1188284,44,781,377,-25013,16529,2402,261,334,-792,-22794,16568,8604
1188325,-105,1015,384,-25013,10988,481,125,1853,360,-22913,739,18093
1188365,-161,501,687,-24893,4885,-1232,380,218,-59,-21341,11151,8535
1188406,-47,654,791,-25013,1375,-168,615,985,1130,-25013,-5845,22434
1188447,-144,226,965,-25013,1396,-132,575,873,291,-21264,11179,14409
