timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
1216047,-214,-918,-468,522,-193,-376,-221,-1013,219,529,-502,-338
1216087,-204,-991,-490,2383,19,551,-181,-1154,263,3318,1507,-751
1216123,-229,-1008,-517,5129,240,2273,-303,-957,296,8485,2332,-2235
1216165,-254,-1271,-572,18990,-1677,5229,-273,-1095,199,25012,10302,-10953
1216208,-303,-1050,-398,25012,-4269,8398,-233,-910,242,25012,2154,-12370
1216245,-291,-1071,-265,25012,-9253,9148,-7,-884,711,25012,5303,-15412
1216286,-222,-858,81,25012,-7556,14975,44,-485,209,25012,6987,-10196
1216325,-185,-541,128,25012,-5348,22318,43,-369,137,25012,8456,-6599
1216365,-96,195,40,25012,-10994,25012,340,23,18,25012,17466,15345
1216405,350,818,135,25012,-10006,25012,259,1559,-1663,25012,7896,25012
1216445,-156,1999,-983,25012,-25013,14216,1255,1299,-2000,20067,-15285,19582
1216486,746,1535,-816,25012,-25013,-76,1999,1999,-2000,25012,-25013,25012
1216523,1723,1999,450,25012,-25013,-12055,1999,1999,1999,14184,-25013,-5459
1216562,1012,1359,1246,-5072,-22008,-9681,1557,1689,1324,-16420,6027,-5117
1216605,635,537,571,4551,-8316,-1224,753,-702,-2000,-2069,-4251,2817
1216644,423,855,730,-6141,-8313,706,862,1844,1999,-5225,-5964,10015
1216684,375,854,673,-4975,5332,1670,853,929,208,-5176,14996,-3277
1216727,232,949,349,-14767,10842,5029,529,801,-216,-11511,18580,6767
1216767,238,888,394,-17137,8621,6319,688,869,-44,-13390,12121,11451
1216804,269,1007,548,-24461,8874,6728,737,1274,414,-20852,13856,14615
1216845,251,648,609,-25013,11500,6100,728,906,-48,-18348,17845,10732
1216884,223,664,722,-20311,9622,7495,591,930,109,-10886,8894,14003
1216926,79,617,855,-19054,7790,5574,626,1012,328,-12472,10819,9043
1216966,93,451,955,-16786,6893,4513,725,598,656,-10986,6860,7905
