timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
1208801,-270,-963,-387,974,-44,-238,-253,-1041,256,531,-355,-603
1208846,-246,-972,-353,-360,-754,-468,-140,-1030,466,-329,-564,413
1208886,-264,-948,-350,-890,829,426,-246,-951,355,-675,1166,445
1208924,-269,-944,-366,-816,-223,146,-239,-996,202,219,-1385,1232
1208967,-228,-963,-378,483,-838,270,-179,-990,402,913,37,35
1209004,-209,-989,-365,1484,-490,860,-210,-1030,258,2294,-332,-869
1209045,-283,-1045,-405,4746,-1922,1865,-314,-942,231,9494,-848,-3229
1209086,-311,-1364,-408,25012,-4532,6741,-323,-872,117,25012,1659,-15458
1209127,-390,-1030,-346,25012,-6664,12208,-102,-471,755,25012,172,-19077
1209165,-309,-989,90,25012,-7276,15469,260,-379,1478,25012,6979,-22716
1209204,-195,-666,230,25012,-889,25012,381,-1000,1404,25012,23848,-21702
1209244,-198,-27,151,25012,-1019,25012,229,-873,340,25012,25012,-2574
1209286,-82,1008,-212,25012,-8938,25012,264,-503,-2000,25012,25012,25012
1209323,-154,1462,-1042,25012,-25013,23432,1224,1999,-2000,25012,-25013,25012
1209361,647,1536,-1131,25012,-25013,10074,1999,1999,-2000,25012,-25013,25012
1209405,1375,1999,613,25012,-25013,-6151,1999,1999,1999,3675,-25013,-6187
1209445,790,776,708,-5782,-25013,-6477,972,157,623,-7157,-7534,-1196
1209480,465,681,743,4893,-15271,-729,687,1403,369,1477,-16319,11538
1209526,113,646,515,-1433,-5580,900,465,1163,618,576,3183,4225
1209566,113,1055,394,-6751,2008,2248,334,980,325,-8840,10341,3689
1209606,120,787,241,-6409,4883,3268,233,751,-465,-3930,10047,2172
1209645,30,1202,244,-14371,5664,4580,301,989,202,-14822,10154,7990
1209683,125,933,336,-19838,10251,5978,535,1007,107,-16767,12483,9827
1209725,100,1210,412,-25013,17664,6493,486,1845,194,-25013,15144,12919
