timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
257399,-59,-891,-862,19145,-2764,4137,-226,-1145,-466,22356,-3977,-4906
257441,-92,-1051,-769,25012,-4802,6493,-209,-1044,-195,25012,-4196,-5359
257481,-135,-1183,-648,25012,-6264,10171,-165,-1012,-247,25012,-5130,-8770
257520,-209,-1088,-376,25012,-10030,13241,-67,-440,68,25012,-10683,-7981
257560,-170,-995,-117,25012,-9570,15829,134,45,836,25012,-11003,-18084
257598,-196,-672,193,25012,-11186,20780,264,139,881,25012,-3462,-14769
257641,-96,-103,396,25012,-7629,25012,260,726,818,25012,-3379,-13041
257680,-82,527,526,25012,-3996,23588,296,1063,1106,25012,-448,-6007
257717,0,805,691,25012,1483,18096,541,1366,1683,25012,19346,-9458
257758,39,720,580,18908,13015,16635,737,201,347,19140,25012,-11322
257797,-81,1145,-550,12070,17267,18918,-918,-745,-2000,6664,25012,9221
257840,-1205,628,-1227,25012,-25013,-5577,1999,387,-2000,25012,-25013,25012
257880,1747,1999,-674,25012,-25013,151,1999,1999,-110,14438,-25013,25012
257919,371,1677,1238,-2818,-25013,-9553,1999,1321,1999,12213,-25013,-25013
257961,548,854,292,-6890,-754,4715,1999,1999,-2000,-25013,25012,21535
257999,291,865,734,-8391,-5372,2098,822,505,-1275,3447,-25013,-3301
258041,227,1110,475,-2195,6016,911,826,1296,1999,-7941,17399,-458
258079,249,947,322,-17175,10474,4566,760,753,-472,-17967,25012,7472
258121,295,1083,569,-17746,9226,5577,567,1067,-67,-16399,4471,8501
258163,218,989,522,-25013,14248,5752,852,1154,623,-22510,21929,15395
258202,159,1095,620,-25013,12994,6877,667,1671,148,-25013,20814,15710
258240,55,648,683,-25013,9609,3905,549,1077,51,-25013,18370,14100
258279,42,540,890,-25013,5335,3296,629,914,1136,-25013,8829,17477
258319,1,131,831,-25013,7540,3318,596,1016,852,-25013,21693,12892
258361,-31,-130,873,-25013,6137,3041,518,25,915,-25013,11320,13671
