timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
1249605,-406,-1098,-371,25012,-3125,9350,-202,-752,369,25012,-464,-15873
1249645,-361,-1102,-287,25012,-5632,14300,-105,-579,467,25012,3171,-22634
1249684,-321,-765,-128,25012,-8304,20832,-2,-220,697,25012,4564,-23477
1249728,-290,-175,143,25012,-13087,22898,102,176,677,25012,4603,-12674
1249769,-243,78,453,25012,-11048,22057,-38,567,650,25012,8235,-12912
1249806,-286,452,430,25012,-10353,21891,-50,476,482,25012,9693,-3134
1249843,-66,1070,416,25012,-7483,18140,8,1481,98,25012,8123,3661
1249886,-151,1201,250,23922,-4980,9361,-156,1501,-336,23980,13192,-6755
1249924,49,1075,-188,21246,-6279,9057,79,-701,-1127,21535,18774,2265
1249965,0,1000,-934,21712,-25013,14905,571,-1205,-2000,19918,25012,25012
1250005,433,1382,-1040,25012,-25013,9920,1999,1999,-2000,25012,-25013,25012
1250046,713,1999,-330,16919,-25013,-10148,1999,1872,1999,16465,-25013,24536
1250086,1073,857,593,3118,-25013,-4053,1999,1779,1999,11278,-25013,14529
1250123,515,539,402,-6300,-7405,5950,892,1535,-1417,-15147,25012,-336
1250165,195,1133,424,763,-2474,882,473,534,-128,3605,-25013,9990
1250205,44,745,72,-8287,1127,4180,236,1061,272,-5977,20225,3716
1250248,85,1292,223,-10374,4575,5147,165,1102,198,-10765,8690,9104
1250286,11,889,177,-16983,9917,4762,384,1307,-18,-13734,13193,4615
1250326,170,1364,363,-21141,20995,4612,629,1313,296,-22384,18500,7077
1250365,108,932,260,-25013,25012,4309,621,1482,-145,-25013,25012,4779
1250406,82,862,554,-20538,23796,4024,271,1157,-1294,-15852,21516,3999
1250442,-153,730,462,-18282,16170,310,-16,741,-239,-15812,1145,1050
1250486,-191,732,685,-17228,2295,-136,274,779,83,-12802,2137,17460
1250526,-174,712,642,-23391,1592,-3076,230,1037,869,-18922,826,10322
