timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
1150046,-160,-1059,-456,6224,-1570,2319,-64,-1086,264,11042,1070,-2438
1150082,-189,-1272,-472,21272,-2920,7700,-264,-860,-114,25012,5696,-9832
1150124,-280,-1110,-342,25012,-8017,9863,-10,-917,276,25012,-757,-14443
1150165,-234,-1082,-47,25012,-9134,11690,190,-237,932,25012,3456,-19228
1150203,-197,-1127,244,25012,-4820,18059,401,-959,1035,25012,9038,-23477
1150244,-84,-403,381,25012,-2986,25012,232,27,770,25012,16379,-11911
1150283,-134,338,218,25012,-1486,25012,-54,76,-413,25012,19709,-5343
1150326,264,906,58,25012,-4503,25012,6,1303,-737,25012,14125,2961
1150360,198,1342,-295,25012,-3760,25012,-319,97,-1788,25012,11399,13787
1150405,-55,1195,-822,18100,-25013,15166,992,1432,-2000,25012,-25013,25012
1150446,1217,1812,-607,25012,-25013,2270,1999,1999,-1072,9088,-25013,25012
1150484,1157,1406,687,2115,-25013,-8854,1999,308,1776,7358,-25013,-8397
1150525,755,942,972,-1784,-14761,936,1522,1682,1999,1840,-7579,25012
1150566,392,911,747,-4948,-1902,538,971,1376,40,-3386,25012,-3263
1150605,205,962,469,-3629,4162,948,301,772,-893,-1822,6468,3480
1150644,211,1078,304,-7184,6481,932,370,1138,204,-4660,2273,6296
1150685,188,1063,281,-13600,10562,227,461,1306,411,-10875,15559,4555
1150722,269,1060,396,-14437,15308,1073,647,680,-257,-13292,18596,7324
1150767,119,1041,379,-25013,16108,-745,469,1242,167,-21309,16519,15551
1150806,52,906,512,-25013,13329,-744,446,1286,-267,-20842,13405,17722
1150846,-44,826,566,-25013,11125,-3118,454,1058,644,-24246,10647,17074
1150886,-92,457,752,-25013,7054,-3299,586,764,-72,-21787,9377,16525
1150926,-120,489,866,-25013,6516,-2791,739,680,1093,-23910,2609,23052
1150970,-143,119,808,-25013,5781,-3754,650,666,781,-25013,10706,22677
