timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
2662164,479,-275,-852,-49,490,-19,-424,-410,-710,83,1541,22
2662206,461,-291,-856,267,800,175,-405,-473,-746,22,3177,133
2662246,473,-320,-864,48,1316,741,-366,-483,-510,883,6154,425
2662280,496,-349,-894,354,2390,1465,-235,-617,-335,1997,13870,185
2662323,476,-378,-976,-107,3287,3900,-210,-736,-697,5450,25012,1414
2662364,468,-383,-1008,1596,-1968,4134,219,-656,-998,3976,25012,5583
2662404,527,-396,-984,-154,-2071,3906,77,-719,-1826,-534,22064,5076
2662445,549,-366,-1265,-303,-9538,2060,81,-666,-1974,-2767,13488,9402
2662486,310,-152,-1457,-1396,-25013,-6963,842,723,-2000,2440,-25013,1974
2662523,653,95,-1270,-11748,-25013,-25013,1999,-743,-2000,-8298,-25013,-21393
2662565,124,-394,-1438,3573,-25013,-17773,1999,754,1741,10383,-25013,5312
2662601,172,-532,195,-2621,-25013,-15585,1706,-321,1999,-17386,-13688,-9683
2662645,85,-396,571,9974,10797,-594,853,-562,1589,489,1373,-6428
2662683,-116,-217,57,2832,21883,1659,465,-486,913,-7784,23408,585
2662725,-82,-316,-609,-5591,25012,6087,653,-507,407,-5711,25012,6138
2662765,319,-197,-1052,-7874,25012,12578,794,-397,-890,-5882,25012,8764
2662802,618,-178,-1217,-6944,25012,18046,-10,15,-2000,-5399,25012,13201
2662847,536,-322,-1251,-4964,25012,9844,-1426,-235,-2000,-2358,18289,-1084
2662880,432,-98,-1329,414,9812,-406,-1184,-495,-2000,-2703,1496,-764
2662923,649,-241,-1113,-403,-3960,-6398,-566,-476,-944,-4379,-11209,-2193
2662965,575,-400,-1019,1305,-5112,-5278,-386,-717,-714,-943,-7180,-1867
2663003,533,-402,-928,1495,-2794,-1539,-395,-587,-549,535,-4093,-1102
2663046,464,-323,-890,805,-429,13,-495,-529,-682,203,-67,335
2663085,444,-311,-873,-687,-806,-83,-537,-420,-701,74,-1022,483
2663128,497,-283,-853,491,-775,-227,-477,-391,-606,180,-222,-720
