timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
2660280,437,-300,-867,15,114,-80,-526,-458,-626,-19,-2,31
2660324,438,-311,-856,116,336,-60,-532,-452,-618,61,400,-309
2660365,429,-306,-859,187,396,-52,-527,-496,-625,-12,275,56
2660400,436,-305,-864,-300,306,-22,-540,-467,-634,-61,165,274
2660440,437,-313,-868,12,370,51,-539,-469,-608,121,430,21
2660480,438,-312,-882,-89,587,102,-546,-496,-640,-80,1417,233
2660521,451,-323,-908,-131,1143,465,-404,-502,-278,717,4008,224
2660560,666,-348,-1154,-1548,6429,2305,-895,-784,-579,358,22199,1465
2660600,343,-287,-1873,2998,-20080,-3041,-1145,346,-2000,-1393,11132,-10696
2660640,435,209,-1772,-2854,-25013,-20511,791,-256,-2000,-5426,-25013,-2545
2660680,448,-501,-1356,82,-25013,-18158,1692,-307,-1416,3625,-25013,-8206
2660721,25,-505,-213,6098,-25013,-13149,1999,-680,1999,5826,-25013,-7537
2660760,149,-566,428,3187,-6977,-2330,1120,-645,1999,93,-3480,-1547
2660800,17,-349,95,3739,17946,4105,408,-240,899,815,15235,-2445
2660840,-81,-204,-585,2145,25012,7758,388,-1041,787,1719,25012,3409
2660880,111,-49,-975,-7390,25012,15204,721,-441,-472,-391,25012,14124
2660920,425,-214,-1087,-8766,25012,18623,72,41,-2000,-2769,25012,11397
2660960,261,-289,-1166,-2387,25012,11951,-1079,41,-2000,39,24414,1685
2661000,316,-30,-1224,-364,10372,1222,-1064,-194,-1703,-2609,1380,-1032
2661044,515,-252,-1106,-1594,-2173,-5652,-547,-444,-939,-3890,-5511,-2809
2661080,474,-391,-1011,2499,-2109,-3524,-418,-659,-742,197,-3295,-3339
2661126,395,-322,-943,1553,-800,-418,-440,-558,-620,154,-2061,-258
2661163,389,-298,-909,-388,190,-228,-491,-442,-613,-437,-768,183
2661204,433,-301,-913,313,655,4,-499,-423,-750,218,702,-592
2661245,430,-278,-894,898,361,112,-468,-445,-725,464,233,-615
