timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
2573605,259,-115,-981,225,1200,878,-675,-421,-491,625,3523,460
2573644,248,-201,-966,-128,1312,1290,-580,-417,-304,1329,7925,-851
2573681,304,-175,-980,596,2774,2433,-562,-534,-495,1320,10438,929
2573721,352,-149,-1064,-1787,2764,3004,-515,-420,-448,1249,14675,2358
2573763,398,-177,-1075,-306,2811,4228,-436,-407,-1123,3852,25012,3232
2573804,501,-39,-1137,-919,992,3974,-428,-538,-1933,-106,14176,3016
2573846,477,-87,-1274,-330,-6626,-193,-593,-504,-1447,3590,8393,2862
2573885,220,2,-1332,2326,-24477,-6129,-372,25,-2000,3900,-25013,1305
2573926,317,363,-1306,-9090,-25013,-25013,1999,-730,-2000,-11103,-25013,-4377
2573965,136,-253,-1201,321,-25013,-21255,1999,171,286,717,-25013,-2370
2574002,-288,-315,-334,5798,-25013,-16727,1160,-527,1999,-8183,-25013,-8448
2574044,-324,-529,298,5346,-7111,-6145,740,-710,1221,1905,-9899,-5999
2574085,-423,-406,125,4630,11532,1003,234,-508,1297,-1306,7838,-3944
2574123,-334,-319,-235,1504,19948,2737,63,-715,989,-1764,21703,-13
2574165,-342,-256,-704,-4412,25012,7231,149,-657,486,-2274,25012,8338
2574206,-88,-201,-882,-10817,25012,10686,-124,-171,-454,-2845,25012,7732
2574245,126,-250,-1072,-3152,25012,13698,-651,-50,-1236,-67,25012,1578
2574280,188,-125,-1120,2228,25012,10598,-1023,-282,-1390,-979,25012,-2340
2574325,155,62,-1241,-1416,13255,3100,-1242,-435,-1468,-2752,6603,2102
2574364,371,-81,-1191,-2985,1317,-2517,-885,-278,-764,-3186,-1379,278
2574406,375,-182,-1096,1400,89,-1056,-746,-444,-637,713,-493,-1824
2574444,285,-150,-1045,2128,268,9,-732,-452,-527,552,-450,-1370
2574485,256,-127,-1012,302,164,-782,-712,-442,-511,-931,-367,211
2574522,291,-197,-991,-360,260,-856,-709,-407,-520,-634,156,-355
2574563,296,-198,-985,988,370,-499,-675,-495,-552,87,235,-868
