timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
2649967,484,-309,-820,-31,212,-48,-449,-462,-635,122,616,-37
2650002,465,-309,-815,174,403,98,-417,-483,-613,141,1016,-90
2650041,499,-309,-821,-288,1144,178,-407,-494,-569,-549,2614,488
2650082,459,-357,-865,154,1810,730,-452,-573,-621,320,3131,256
2650122,488,-357,-910,-420,2030,1222,-429,-594,-544,599,5345,845
2650164,516,-416,-967,-429,2601,2227,-414,-691,-729,1338,9741,1463
2650204,611,-392,-1016,-1675,2603,3531,-304,-687,-832,1001,14925,3951
2650243,790,-392,-1185,-3250,2925,4535,-518,-817,-1444,286,15913,5409
2650284,990,-329,-1856,164,-15852,1820,-1183,-324,-2000,8126,25012,8274
2650324,560,155,-1875,6553,-25013,-14910,1794,377,-2000,8756,-25013,1316
2650365,957,226,-1650,-8812,-25013,-25013,1999,-675,-361,6596,-25013,-1477
2650405,632,-631,-99,5541,-25013,-20678,1999,646,1999,4843,-25013,-7668
2650444,464,-632,1206,11000,-16598,-11441,1999,-1583,1999,-1706,-8054,-12132
2650485,83,-323,700,2804,20583,5790,1119,-508,917,1187,25012,3581
2650524,-22,-364,-195,-3646,25012,10922,677,-594,776,-917,25012,6823
2650565,100,-162,-1041,-8429,25012,16109,1034,-252,-617,-4485,25012,14518
2650606,410,-169,-1110,-8686,25012,21522,155,450,-2000,-7106,25012,8206
2650641,211,-286,-1227,3066,25012,12587,-843,-196,-2000,2580,25012,-2464
2650685,361,4,-1296,-248,13812,2123,-913,-98,-1947,-3817,2749,-1847
2650724,543,-199,-1168,-184,1215,-5267,-428,-441,-1102,-3762,-2416,-4497
2650766,501,-343,-1113,2533,1212,-3510,-407,-689,-876,358,-1526,-3434
2650805,414,-347,-1028,2622,1358,-858,-419,-622,-773,361,289,-1953
2650843,400,-310,-985,1124,1470,-266,-436,-506,-764,-31,865,-860
2650885,413,-316,-970,536,1091,-651,-421,-520,-841,-288,672,-845
2650921,429,-333,-935,512,364,-559,-380,-523,-824,168,103,-564
