timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
2528607,301,-267,-919,-113,218,-35,-390,-437,-725,149,208,-24
2528646,309,-260,-904,186,212,-154,-367,-446,-688,64,325,-160
2528684,312,-264,-901,45,410,-172,-358,-481,-701,-176,525,-54
2528722,312,-281,-887,73,587,-97,-356,-454,-703,115,607,-255
2528766,318,-263,-886,176,961,-71,-351,-470,-710,-207,909,-96
2528808,319,-293,-879,79,1023,-40,-327,-485,-669,-70,1287,-93
2528845,314,-289,-867,23,1415,129,-329,-456,-677,81,1548,-208
2528886,326,-303,-842,628,1955,370,-217,-555,-546,1160,2916,-260
2528925,356,-314,-827,-60,4612,2645,-177,-552,-479,1565,5261,1602
2528964,398,-338,-855,-1068,9518,5959,-39,-508,-191,4584,14183,1008
2529005,693,-388,-1117,1297,17651,11377,-45,-853,-1422,-1300,25012,4532
2529042,600,-96,-1815,-4867,12206,7513,-1066,-434,-2000,-5335,25012,3392
2529088,656,-77,-2000,-1491,-25013,-12736,1999,821,-2000,12929,-25013,-1787
2529126,1428,403,-1740,-7402,-25013,-25013,1999,-1910,-2000,-1965,-25013,-15038
2529165,664,-284,-1285,1965,-25013,-25013,1999,373,1971,-3905,-25013,327
2529205,267,-791,650,-290,-25013,-19211,1999,-740,1999,-8144,-19307,-13320
2529242,279,-794,1010,10038,-934,-3071,1482,-1104,1999,6138,14161,-6593
2529288,-103,-434,477,1753,19325,5767,650,-313,976,583,23454,2054
2529324,-162,-404,-397,-2468,25012,8927,271,-838,447,-3171,25012,3422
2529363,-51,-215,-1035,-4247,25012,12747,412,-546,-671,-4137,25012,10228
2529401,50,-159,-1110,-10962,25012,13963,-138,-374,-1674,-5404,25012,11209
2529441,19,-291,-1168,-3038,25012,12592,-925,313,-2000,2200,22546,4261
2529480,154,-5,-1175,2023,16119,3661,-867,-232,-992,1912,6779,-2516
2529520,283,-160,-1194,1061,9029,-370,-698,-423,-1061,-1487,7899,-3260
2529560,279,-241,-1125,2433,5925,-167,-619,-595,-924,424,4080,-2520
