timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
3361444,627,-403,772,-180,-228,-293,1045,-37,93,-73,-77,-246
3361486,624,-409,767,448,146,-369,1042,-66,63,192,225,-603
3361526,618,-376,803,697,-173,-203,1071,-3,95,490,-35,-450
3361565,623,-332,869,877,-252,-278,1095,179,168,738,1008,-1264
3361604,644,-262,1039,3833,-333,-1156,1191,563,437,3542,1055,-4216
3361647,625,26,1286,6318,4541,-6215,1360,1150,993,-3345,9824,-7064
3361682,501,-6,1239,519,10829,-11719,1709,740,998,-14752,15405,-15056
3361726,895,-880,954,-3945,22274,-12858,1999,17,492,-24548,25012,-25013
3361766,1446,-1585,862,-4477,25012,2,1999,-2000,-1276,-21238,20552,1356
3361807,1280,-1017,500,-24684,25012,25012,1999,-991,-605,-10466,25012,25012
3361847,410,-728,-45,-15213,22635,25012,443,1161,-2000,25012,22920,25012
3361884,-163,1280,426,13509,6761,25012,-304,1999,-1534,25012,14232,25012
3361928,-472,1999,487,9032,4787,-3748,270,1999,1316,-25013,-7285,-25013
3361966,-355,550,545,-11755,-18129,-25013,942,796,648,-25013,1372,-20676
3362000,1063,-2000,1328,-25013,-2980,-25013,1999,-318,-1213,-25013,12947,-25013
3362044,249,-2000,93,-6551,6349,11867,1057,-1745,140,22358,13041,24153
3362085,-136,-749,185,25012,-10749,25012,443,-475,-602,25012,13476,25012
3362125,-506,1419,1194,-239,-15117,25012,513,1999,-163,17504,-13444,25012
3362167,-405,1497,1255,-2601,4194,-21123,1999,1999,1999,-25013,18883,-25013
3362206,174,-257,1038,-20120,9491,-25013,1999,-1864,-2000,-25013,23038,-25013
3362245,820,-2000,441,-14347,13199,-18572,1999,-2000,602,3105,-10390,-6436
3362282,209,-2000,-5,9401,-7848,25012,1014,-1500,-823,25012,13032,25012
3362324,-122,445,952,18764,-19928,25012,1076,1249,-448,25012,-4926,25012
3362365,-276,1175,1458,4851,-997,8504,460,1999,1999,-13277,-25013,-7372
3362404,-404,1075,960,-11987,3090,-21382,952,-943,1677,-25013,21324,-25013
