timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
412978,-40,-262,968,-1013,-706,1848,588,-278,1000,-703,1861,4354
413019,-68,-501,1019,-1074,-2117,6169,765,-568,965,2717,2362,7668
413061,28,-469,965,-1283,-6852,15683,954,-1083,888,9396,9829,23457
413102,117,-346,1130,2680,-13706,20385,771,728,525,17003,6615,25012
413140,257,175,1300,10119,-9112,14817,799,1514,797,14633,-5372,19209
413182,52,1775,1148,-3741,9968,5614,458,1999,949,-5009,-3652,6327
413222,-98,1276,1066,-3454,9428,-23473,952,1999,-144,-25013,5552,-25013
413261,682,-276,599,-19948,4812,-25013,1999,933,-568,-25013,5706,-25013
413301,945,-2000,534,-11519,13802,-25013,1999,-2000,-155,-25013,-16069,-25013
413338,811,-2000,242,-294,-530,13890,1999,-2000,721,25012,16229,25012
413379,598,-1438,571,25012,-10325,25012,1961,-1535,-1415,25012,25012,25012
413417,551,1999,934,17886,-5858,25012,1999,1999,-1547,25012,-15874,25012
413461,-456,1999,1195,4148,14729,-11325,1999,1404,972,-25013,-5177,-25013
413498,774,593,665,-25013,-522,-25013,1999,1743,-563,-25013,23801,-25013
413542,971,-2000,677,-20364,15383,-25013,1999,-2000,-833,-25013,-13110,-22110
413582,355,-2000,231,12954,-4438,25012,1615,-1977,500,25012,13638,25012
413621,300,-123,814,25012,-21184,25012,1773,-853,-1710,25012,18831,25012
413659,-330,1999,1078,9670,7647,21457,727,1999,246,-2465,-25013,-4370
413701,-136,1933,1020,-15345,1936,-25013,1716,1044,1371,-25013,10774,-25013
413740,843,-1596,673,-25013,6077,-25013,1999,-2000,-1886,-25013,25012,-25013
413780,471,-2000,553,-4768,8552,205,1999,-2000,832,13771,-8639,21117
413822,271,-1345,533,25012,-5545,25012,1225,-1516,-498,25012,25012,25012
413858,396,1319,980,24319,-13336,25012,1689,1971,-1199,25012,-3851,25012
413902,-556,1999,885,-8313,16671,-4396,1199,1999,1999,-25013,9315,-25013
413939,15,761,604,-20802,10063,-25013,1165,1076,-1634,-25013,17752,-25013
