timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
431297,-82,-337,1036,-914,-274,4229,562,-380,1077,2064,2321,6240
431337,-57,-370,964,-1843,-2354,10683,712,-937,815,5579,2944,17883
431377,-42,-384,950,-5630,-9554,18619,763,-194,624,8027,851,25012
431417,65,-372,973,-87,-15181,18340,584,602,727,10083,163,25012
431458,151,70,1100,7458,-10535,12347,605,1493,1166,12997,-2422,14887
431497,134,851,1223,7830,2463,5182,535,1999,998,6395,955,2132
431538,120,1226,1147,-885,12358,-11710,485,1999,588,-7566,3283,-24238
431581,163,503,981,-374,14563,-25013,1657,1009,472,-25013,1016,-25013
431621,585,-897,789,-18038,10044,-25013,1999,-2000,-621,-25013,3175,-25013
431661,627,-2000,459,-23564,5280,-23343,1999,-2000,886,-20737,-5734,-13428
431701,497,-2000,230,6871,-5258,25012,1822,-2000,-121,25012,20040,25012
431741,391,51,771,25012,-8998,25012,1999,-139,-897,25012,20503,25012
431778,337,1999,1060,17840,3025,25012,1023,1999,-2000,25012,-19735,25012
431821,-612,1999,592,-308,9138,-25013,809,1999,720,-25013,6819,-25013
431864,902,-322,702,-25013,-3438,-25013,1999,-686,-1947,-25013,9139,-25013
431902,694,-2000,349,-14804,5251,-25013,1999,-2000,174,-6840,-15261,-23362
431941,618,-2000,316,17893,-9548,22782,1999,-1935,1124,25012,13958,25012
431981,315,-349,965,25012,-12858,25012,1807,-621,-514,25012,22196,25012
432023,-314,1999,1021,12495,12018,24564,-188,1999,-108,16187,-20057,-5136
432061,-748,1999,667,-9478,4240,-25013,494,1999,-427,-25013,8107,-25013
432101,618,-218,801,-25013,-6317,-25013,1999,-1097,-883,-25013,-9762,-25013
432139,710,-1951,811,-8995,280,-25013,1999,-2000,977,-11554,-15415,-25013
432180,604,-2000,677,5206,-1719,14846,1934,-2000,1872,19419,13933,25012
432222,301,-916,933,18575,-5038,25012,1559,-841,79,25012,18938,25012
432261,353,643,1128,21216,-9845,25012,1357,1999,-558,25012,1887,25012
