timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
3308568,456,-464,962,1058,161,-564,1166,-10,556,797,1371,-1194
3308606,513,-309,1243,-300,3177,-761,1547,263,1486,-820,2554,2173
3308641,541,-242,1445,-3307,11924,-2453,1648,1106,1505,-5982,17762,-2153
3308680,469,-457,1223,1090,25012,-7619,1715,888,868,-14272,25012,-17706
3308721,376,-919,688,5719,25012,-11336,1781,-448,-313,-21962,25012,-25013
3308760,511,-1207,295,-5574,21312,-3366,1406,-2000,-701,-14987,11745,-830
3308800,450,-1347,165,-10858,6893,20632,1406,-1894,-165,9726,6850,25012
3308840,62,-619,471,2474,-3450,25012,846,-358,-540,25012,12934,25012
3308880,-90,899,1335,2845,-14347,25012,708,1110,-609,25012,-6570,25012
3308921,-465,1479,1488,-2887,4008,-6759,1738,1999,1999,-4483,-6014,-25013
3308960,-341,473,903,2048,11276,-18026,849,-188,615,-25013,25012,-24674
3309000,280,-1545,470,-945,6364,-22433,1999,-1303,-740,-25013,24438,-25013
3309040,412,-1970,519,-9212,-3481,5154,1938,-2000,391,4058,-9290,25012
3309080,-261,-830,489,3374,-13037,22613,573,-38,366,25012,3740,25012
3309121,-341,1008,1568,3100,-13535,10316,1260,1999,-293,22802,-25013,25012
3309161,-600,987,1505,-6421,171,-16270,1348,1101,1999,-25013,10556,-25013
3309206,-54,-534,686,-2854,7969,-21385,884,811,-498,-25013,14960,-25013
3309245,460,-1590,617,9865,-6938,-15775,1999,-2000,-669,329,18433,-25013
3309280,444,-1154,748,-2149,-10464,5751,1781,-2000,862,7939,-14929,25012
3309320,-26,-564,739,-3017,-14148,18338,1022,575,783,20861,-8092,25012
3309360,34,170,1315,-7852,-14769,9987,1209,1999,1046,21754,-25013,25012
3309400,-112,222,1445,6986,4890,-8490,1174,1999,1615,-10371,4890,-25013
3309440,-69,20,917,5753,13939,-13427,865,-266,426,-14898,11482,-23471
3309480,170,-669,707,3367,6323,-14587,897,-630,-290,-12288,7186,-25013
3309520,240,-759,693,-1606,-7941,-8921,1069,-1967,-193,-3977,-14129,-3800
