timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
451020,-37,-72,1030,109,265,22,427,243,913,141,435,216
451063,-38,-55,1025,-119,25,-70,418,267,943,-382,59,183
451102,-31,-64,1011,-514,23,-359,414,250,944,-493,-70,-106
451141,-42,-89,978,-399,-35,-492,418,178,908,-508,-173,-383
451183,-13,-223,1016,-773,-1054,-236,609,-157,1087,-858,-309,1080
451225,101,-492,1159,-1753,-669,3880,960,-836,1464,1447,5340,8066
451262,128,-584,1153,-912,-203,14425,895,-642,872,10661,13572,18147
451302,156,-55,1177,6648,-5129,22397,996,323,661,17927,11506,25012
451342,125,1568,877,1260,7851,22954,428,1999,-894,17280,-4860,25012
451378,-552,1887,524,10012,16974,-870,-305,1999,-66,-4439,-8212,-25013
451421,331,813,912,-14023,-16808,-25013,1999,1404,-672,-25013,-3303,-25013
451462,1276,-2000,1259,-21979,1062,-25013,1999,-2000,1042,-25013,-25013,-25013
451502,697,-2000,504,-8062,8622,15383,1999,-2000,1350,22896,23184,25012
451541,600,-937,720,25012,-1051,25012,1764,-587,-734,25012,25012,25012
451581,177,1999,564,12942,10803,25012,5,1999,-2000,23951,-11518,25012
451621,-668,1999,339,4948,81,-22928,981,1999,-473,-25013,-7066,-25013
451661,1070,-264,811,-25013,-14269,-25013,1999,-2000,-1005,-25013,-13407,-25013
451701,849,-2000,942,-10315,23,-22015,1999,-2000,1999,2050,-9136,-5503
451737,667,-2000,619,17448,2216,25012,1806,-1809,559,25012,25012,25012
451779,220,385,1093,25012,-9600,25012,1862,296,-740,25012,14264,25012
451822,-852,1788,722,3845,16073,20616,592,1999,262,-15794,-14460,-25013
451862,-182,1619,800,-12872,-5135,-25013,1417,1627,-129,-25013,4881,-25013
451905,778,-1545,1008,-24737,-408,-25013,1999,-2000,-421,-25013,-17199,-25013
451944,507,-2000,733,2314,1254,4409,1999,-2000,1999,15077,7154,22386
451981,412,-1167,842,17300,714,25012,1532,-1080,-582,25012,24398,25012
