timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
3404880,636,-198,1269,-7603,13674,-8043,1519,707,823,-18458,11191,-3188
3404923,997,-844,751,-7635,25012,-13301,1999,261,931,-25013,25012,-17216
3404965,1208,-1267,457,-5641,25012,-7640,1999,-1665,-1409,-25013,25012,-18674
3405004,1370,-1146,-132,-21796,25012,6954,1999,-2000,-1553,-25013,25012,25012
3405046,412,-1406,-273,-11888,11177,25012,813,-1068,-1884,25012,25012,25012
3405084,52,243,539,25012,-14638,25012,1327,-219,-530,25012,25012,25012
3405124,-269,1444,1697,23510,4393,25012,1999,1999,-2000,-5178,-25013,25012
3405167,-842,1999,802,-15359,7025,-25013,1079,269,1468,-25013,17987,-25013
3405205,750,-640,498,-25013,-4619,-25013,1999,1954,-2000,-25013,10987,-25013
3405246,1187,-2000,-418,-20744,7438,-16570,1999,-2000,-1642,25012,-16555,17833
3405287,1019,-1672,-78,25012,-15693,25012,1999,-476,-749,25012,25012,25012
3405320,247,826,1158,25012,-13309,25012,1498,573,-1181,25012,18922,25012
3405361,-308,1999,1155,11513,12661,2790,257,1999,1999,-20112,-25013,-25013
3405405,-211,605,631,-25013,1679,-25013,1078,-1536,-1479,-25013,21351,-20021
3405440,1030,-1731,244,-25013,6042,-25013,1999,-542,-1711,-25013,-1626,-25013
3405487,730,-2000,6,18263,-9778,25012,1999,-2000,189,25012,14322,25012
3405523,307,-378,743,25012,-14829,25012,1461,-147,-945,25012,15158,25012
3405567,-362,1094,1672,6996,-4047,25012,1999,1999,-425,-13022,-25013,25012
3405600,-815,1812,1459,-9155,10757,-25013,1999,1999,1999,-25013,25012,-25013
3405643,166,275,679,-24422,7616,-25013,796,1151,-1544,-25013,-3352,-20564
3405685,604,-802,319,-25013,5354,-25013,1511,-1983,-1482,-25013,-11598,-25013
3405722,589,-1440,47,-12977,-770,-25013,1525,-2000,-504,-9153,-15654,-21298
3405763,648,-1150,312,2862,-4883,-4778,1276,-1094,411,5914,-1952,2641
3405807,393,-979,485,8782,-4698,3341,789,-458,-30,15540,-7354,-37
3405845,229,-739,602,12277,-7321,4359,833,-249,520,15679,-11203,1024
