timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
403739,55,-307,1067,-3183,2636,1941,773,-117,1177,-1045,11896,3019
403778,-12,-303,1010,-3138,3861,4276,671,-67,985,-449,18127,5903
403820,-56,-290,857,-3722,645,8764,680,-781,1034,3339,23193,16416
403861,-96,-171,978,-164,-7261,13481,497,412,23,7983,19048,25012
403901,-59,485,1123,5217,-7770,11554,234,1999,225,11314,-2041,18690
403941,52,1096,1279,8388,-4990,-4813,343,1999,633,1245,-13664,-13688
403981,122,899,1356,-304,-2298,-25013,1176,1999,569,-24262,-17501,-25013
404022,633,-544,924,-23329,4339,-25013,1999,-37,304,-25013,-14643,-25013
404062,1199,-2000,446,-22996,17276,-25013,1999,-2000,537,-25013,51,-25013
404100,533,-2000,-113,1584,15082,5470,1999,-2000,-351,9173,23298,7791
404140,584,-800,362,25012,-9494,25012,1999,-820,-1092,25012,25012,25012
404178,658,1849,1215,25012,-12038,25012,1999,1999,-2000,25012,6109,25012
404221,-447,1999,1238,5451,4324,-8429,1721,1401,1999,-25013,-25013,-25013
404260,373,1212,1058,-25013,-4506,-25013,1541,1999,688,-25013,18300,-25013
404301,845,-1170,753,-25013,14616,-25013,1999,-2000,-1675,-25013,-136,-25013
404337,662,-2000,47,-20421,20732,-21180,1999,-2000,-168,-7189,-4029,-22297
404381,525,-1824,212,24000,-16407,25012,1999,-1303,-334,25012,18110,25012
404422,626,908,932,25012,-23841,25012,1999,1477,-2000,25012,4796,25012
404461,-374,1790,1015,14299,5528,23535,1621,1999,852,-10547,-25013,-25013
404501,14,1965,1202,-20404,-3944,-25013,1084,1598,338,-25013,5764,-21812
404542,685,-749,737,-25013,4215,-25013,1999,-293,-210,-25013,10672,-25013
404581,709,-1741,560,-17698,21073,-24163,1815,-2000,-47,-20094,-9893,-20812
404618,111,-1928,94,7564,-1273,16525,1441,-2000,-19,25012,9125,25012
404662,219,-179,739,25012,-23956,25012,1882,-361,-1417,25012,7306,25012
404703,-58,1282,1259,15915,-3974,17006,922,1999,845,4406,-25013,-17283
