timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
3060520,605,-145,821,-2346,-1765,-1324,976,106,-281,-3087,-5716,2009
3060564,650,-189,760,-2481,-3319,-2774,967,4,-105,-4501,-12835,2734
3060606,668,-154,775,-1598,-6319,-4012,1038,74,-261,-6259,-8907,477
3060645,772,-106,926,-1168,-5851,-4657,1305,391,192,-4517,-8504,-551
3060685,885,-93,1099,690,-194,-6812,1564,396,314,-6600,1779,-4851
3060725,1070,-112,1279,422,7364,-8118,1999,375,707,-6245,19086,-8225
3060765,1094,-276,1438,-3200,15965,-6567,1999,216,802,-7101,25012,-11101
3060807,989,-582,1252,-6207,24816,-959,1999,53,485,-15411,25012,-7101
3060844,763,-460,897,-10129,25012,4232,1999,-270,-209,-18309,25012,-984
3060884,559,-286,493,-17341,25012,11493,1857,336,-37,-19502,25012,12079
3060923,607,-302,98,-18186,25012,19144,1328,402,-1596,-17361,25012,126
3060965,64,-174,-626,-2660,25012,25012,-1415,-806,-1772,8669,15635,15912
3061007,-792,-28,-1789,15505,-25013,5632,204,-179,-2000,-1133,25012,6806
3061046,1641,1033,290,10881,-25013,-4905,1999,1999,-2000,25012,-25013,25012
3061084,1999,130,380,6196,-25013,-19768,1999,1999,1999,8032,-25013,9338
3061125,1999,-238,1999,2536,-1216,-3868,1999,-312,1999,6190,17596,7858
3061166,931,263,839,-259,25012,13350,1999,375,-2000,-22532,25012,18883
3061207,726,11,1031,-5301,9706,2050,833,258,5,3065,-25013,-2416
3061245,723,-292,646,2319,-7178,-5563,1345,-304,466,-3962,1762,-9622
3061287,824,-145,933,989,-3783,2146,1486,50,603,4445,1184,7777
3061325,796,-75,881,-3916,4793,3703,1047,569,-105,-399,8969,3196
3061364,691,-205,766,-275,6241,-50,911,152,-259,-2554,5098,-3474
3061407,639,-175,696,1243,4475,-968,983,-206,-154,-1676,4428,-988
3061447,645,-183,696,-1582,2743,597,939,-31,-275,-467,2335,2239
