timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
3041286,542,-355,801,-667,439,-541,1013,-20,-22,-1017,274,203
3041321,546,-336,811,-597,780,-967,1003,-15,-106,-1597,-968,221
3041364,577,-296,843,-386,1018,-2399,998,287,66,-3792,-10229,267
3041404,599,-243,901,1489,2870,-7124,1123,391,59,-10048,-3248,-4964
3041445,614,-180,1014,3588,5351,-11530,1459,329,464,-10940,5843,-9133
3041486,720,-335,1074,2729,10291,-9158,1996,-292,875,-10509,25012,-7020
3041525,636,-396,1080,-2506,14164,-1983,1999,-79,493,-10856,25012,-1693
3041566,465,-409,1018,-6425,17689,2406,1920,63,360,-13098,25012,1380
3041604,448,-502,953,-14280,24927,9292,1999,45,800,-13746,25012,5327
3041644,280,-621,846,-10323,25012,16096,990,-385,-1003,-10278,25012,6325
3041685,43,-390,588,-13431,25012,19046,488,-56,187,-7814,25012,12278
3041723,-436,-314,28,-3299,25012,18522,-895,-633,-1458,5501,9983,12854
3041764,-967,356,-1215,3000,-25013,2411,-1596,-919,-2000,-2471,16683,18379
3041800,1065,172,424,-2922,-25013,-21800,1999,1999,-2000,25012,-25013,24647
3041844,1870,-215,-729,4980,-25013,-25013,1999,1999,1999,-11377,-25013,3171
3041884,1999,-692,1999,7193,-11861,-9888,1999,-795,1999,7920,13777,8611
3041923,1096,-150,971,-4538,25012,13838,817,1552,-2000,11536,9328,12829
3041966,726,-356,642,-5154,13777,1091,233,474,-923,-5778,9674,-1062
3042004,638,-425,784,6445,-452,-1501,1127,-440,-524,4766,4097,-8367
3042044,700,-116,895,-75,324,1944,1281,-76,189,795,2414,2813
3042085,654,-306,738,-1614,7448,3522,906,130,-138,330,9641,399
3042123,512,-233,711,-152,7586,1979,756,69,-510,-161,3926,-1925
3042162,479,-262,687,-611,3014,367,818,-101,-168,-914,1620,338
3042205,533,-336,734,-903,465,-469,940,-66,-64,-1181,1785,-148
