timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
307356,-322,-322,947,58,-478,-267,36,127,1159,-166,31,131
307398,-352,-339,929,283,463,77,-13,143,1028,290,-348,-363
307437,-351,-314,901,176,-140,-616,-7,114,994,-331,-990,-71
307477,-327,-316,875,9,-1206,-1012,22,59,1004,-473,-1267,-218
307516,-289,-342,905,503,-815,-309,67,132,1234,883,-1296,414
307553,-308,-326,921,621,-3,-182,54,66,1097,41,-1450,-408
307596,-322,-357,912,-179,-323,-296,94,78,1018,193,-1602,-412
307637,-310,-388,977,451,1518,1225,164,34,1183,1815,-3382,-768
307677,-328,-421,1005,145,4727,3096,215,65,1279,2525,-4810,-1504
307719,-332,-421,1086,1377,12825,8176,547,117,1999,5683,-2532,-2204
307758,-382,-386,1001,3281,25012,14468,782,369,1999,11034,25012,-5864
307797,-861,165,333,5077,25012,9622,-926,106,-1184,-11839,25012,-6028
307833,-1595,266,-867,-13341,-25013,-25013,1999,-941,-2000,-25013,-25013,-4031
307873,1999,1104,-2000,-8804,-25013,-25013,1999,-2000,181,25012,-25013,25012
307915,1999,-1096,1590,25012,-25013,-25013,1999,1134,1999,14020,-25013,-25013
307956,1303,443,897,877,6419,-6131,1999,-2000,1999,-9383,25012,17944
307998,1214,-295,240,-9967,-13482,18945,1937,1811,-1143,25012,-25013,25012
308038,1066,-264,542,1532,1482,-419,1151,124,887,-10483,22899,-19632
308076,1002,-107,345,3467,2105,-7456,1222,-1038,34,459,-9662,-2254
308118,1145,-238,335,-754,1905,1580,1123,-606,-337,1938,4965,3270
308154,1069,-213,335,-1039,1986,4356,966,-106,-141,1862,4864,2432
308194,970,-207,391,-263,3845,3454,1081,-147,324,1775,7059,203
308235,948,-205,507,-1449,10224,5398,1242,-93,578,1127,17244,-2039
308275,934,-296,608,-735,21012,7357,1407,19,416,1149,21387,-6816
308320,894,-380,706,1228,25012,8127,1713,-208,1004,4570,25012,-11712
