timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
2941604,20,-335,1002,256,3009,583,907,133,635,-1019,4610,-770
2941646,11,-352,996,-603,3551,787,897,168,738,-849,5321,-432
2941684,-6,-367,1019,-129,4214,809,904,145,754,-1771,9526,-1870
2941725,-52,-356,993,-309,5245,1300,801,66,660,-1274,6453,-284
2941763,-103,-321,985,-1537,5131,1119,829,265,1051,-2190,11414,-1093
2941806,-150,-343,968,-1637,6274,1090,683,129,553,-3088,12956,-2097
2941841,-112,-334,874,-1529,7670,1416,1090,294,1489,-6735,8590,-870
2941886,-111,-447,912,590,16754,4739,879,150,163,-1119,25012,-20292
2941926,-381,-210,556,7142,15461,4903,-829,-261,-230,10796,-728,-251
2941964,-1023,-31,-512,9287,-25013,-13411,-167,-612,-2000,-6880,25012,-1948
2942006,1361,407,452,8398,-25013,-13912,1999,1640,-2000,25012,-25013,25012
2942045,1248,99,369,-4883,-25013,-11884,1999,1999,1999,-1687,-25013,25012
2942084,1999,-747,1855,-10081,-13388,-3630,1999,660,1740,-8680,19010,5499
2942122,1228,-191,924,8313,25012,8693,1856,235,-279,-13533,25012,-9986
2942161,729,-154,804,7379,25012,6027,1224,-147,-951,-6422,25012,-15246
2942204,483,-146,760,3461,17933,2058,762,-371,-833,622,12871,-5317
2942247,408,-60,810,-1466,2498,2051,854,-88,-196,35,-1389,5843
2942285,436,-171,817,-7431,-3551,1627,968,171,169,-890,-1766,7150
2942326,479,-302,860,-4315,-2161,1855,970,372,274,748,-169,2567
2942365,469,-265,868,783,757,888,961,282,217,991,2062,-2031
2942407,436,-174,887,2125,1927,-253,982,100,144,285,1463,-1952
2942440,414,-176,878,219,2170,-196,989,87,263,-567,2051,-138
2942486,423,-222,906,-1458,3086,562,993,148,225,-668,3054,556
2942525,416,-236,905,-935,3503,641,994,173,170,-510,2677,-96
