timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
2978806,485,-386,819,-61,-183,9,1004,-50,160,154,-2,132
2978844,485,-391,817,138,19,-40,991,-51,141,268,67,-250
2978887,478,-372,806,187,-85,-55,983,-83,119,49,-77,202
2978920,480,-356,811,-430,-625,-164,982,-62,115,-78,-524,629
2978963,505,-357,819,-580,-896,-315,1003,23,105,-270,-669,412
2979000,523,-352,844,-286,-829,-779,1063,18,177,-643,-603,-43
2979046,676,-460,964,77,49,-1639,1578,213,747,-657,6103,-3883
2979084,731,-676,1087,728,3151,-2254,1914,41,1289,1045,25012,-12335
2979125,496,-530,1065,-2160,12822,3049,1999,121,1844,-5520,25012,-8777
2979167,439,-646,1098,-3912,25012,9523,1999,91,575,-13760,25012,-4009
2979206,299,-510,802,399,25012,12270,1234,59,-298,-8256,25012,-5904
2979246,29,-125,386,22,25012,18674,197,-628,-2000,-2190,24573,-3451
2979287,-1409,153,-835,14670,-25013,-2195,1797,-179,-2000,25012,-8815,18035
2979320,1779,599,298,-641,-25013,-15730,1999,1765,-2000,25012,-25013,25012
2979362,1999,-553,566,-11045,-25013,-19140,1999,1999,1999,-4332,-25013,15941
2979407,1999,-600,1877,2625,11365,5949,1999,735,68,-5236,25012,6400
2979445,808,-77,740,-1357,25012,9456,719,1169,-306,5103,13032,1293
2979487,661,-419,681,986,13373,429,878,-108,-591,251,14901,-8736
2979528,673,-302,856,5524,5327,1080,1224,-328,-226,1664,11345,-4875
2979565,628,-216,910,-1387,3438,2022,1145,-157,-187,-743,5976,2961
2979601,598,-349,814,-3704,4558,2987,1008,66,29,-383,5281,3420
2979645,509,-326,768,-1625,4832,2258,889,76,-48,-756,4970,1059
2979684,456,-317,733,-1035,3789,606,852,-49,-55,-1032,3243,458
2979723,430,-299,731,-1475,1872,21,863,-70,-39,-1394,1367,1375
