timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
176960,-347,-386,884,-767,-545,-228,18,-17,998,258,-2476,-195
177000,-330,-405,928,448,-148,616,73,3,1057,1819,-5671,-186
177041,-349,-408,961,-333,1822,1755,147,-82,1565,417,-2508,829
177083,-377,-442,987,-738,3403,2587,154,4,1227,-245,1347,903
177119,-415,-422,960,-1571,5246,4079,107,2,1243,58,2918,1617
177159,-483,-370,861,-590,6301,5643,177,199,1683,4604,8701,201
177199,-505,-281,900,3421,11691,7532,0,233,1145,5537,20703,-2423
177240,-604,-36,759,-377,12022,2890,-248,511,889,-3884,14244,-2825
177282,-645,87,498,-4829,7686,-5029,-994,302,259,-11214,13705,-3059
177321,-1033,-50,-317,-6975,-25013,-25013,675,1339,-2000,-25013,7420,-25013
177360,1672,72,-657,-1978,-25013,-25013,1999,-2000,-2000,-961,-25013,-24122
177397,1548,-1493,210,-12431,-25013,-25013,1999,1999,1999,18079,-25013,10512
177442,1353,-825,1104,23057,-25013,-25013,1999,-713,1999,7453,-25013,-25013
177478,1658,347,910,8225,8729,-263,1999,-1323,935,-19477,25012,-742
177517,1435,123,710,-1521,9067,12193,1709,361,-1994,-2854,18151,13783
177561,1146,-181,683,-2539,9825,9371,1292,538,854,4058,-4898,6506
177601,1046,-330,604,-1635,17031,7022,1310,-54,916,139,18474,-4861
177638,894,-410,537,-1322,21969,4727,1306,-32,156,-876,25012,-4918
177678,797,-412,611,235,22903,4298,1212,-479,-81,245,20539,-7591
177722,619,-342,678,-1551,20883,5803,1018,-263,458,-1049,15275,159
177760,446,-363,684,-3629,19474,6583,951,-29,897,-170,22645,1924
177801,312,-441,719,-470,19536,6109,836,2,489,1741,25012,-3006
177840,163,-425,668,2225,19263,4522,715,-156,509,3769,25012,-5819
177880,62,-438,695,4014,15627,4546,692,-413,1097,5394,25012,-2485
177919,53,-503,895,3750,16195,5903,657,65,1023,7893,25012,-2437
