filename,file_key,label,Imu0_acc_x_mean,Imu0_acc_x_std,Imu0_acc_x_rms,Imu0_acc_x_max,Imu0_acc_x_median,Imu0_acc_y_mean,Imu0_acc_y_std,Imu0_acc_y_rms,Imu0_acc_y_max,Imu0_acc_y_median,Imu0_acc_z_mean,Imu0_acc_z_std,Imu0_acc_z_rms,Imu0_acc_z_max,Imu0_acc_z_median,Imu0_gyro_x_mean,Imu0_gyro_x_std,Imu0_gyro_x_rms,Imu0_gyro_x_max,Imu0_gyro_x_median,Imu0_gyro_y_mean,Imu0_gyro_y_std,Imu0_gyro_y_rms,Imu0_gyro_y_max,Imu0_gyro_y_median,Imu0_gyro_z_mean,Imu0_gyro_z_std,Imu0_gyro_z_rms,Imu0_gyro_z_max,Imu0_gyro_z_median,Imu0_accmag_mean,Imu0_accmag_std,Imu0_accmag_rms,Imu0_accmag_max,Imu0_accmag_median,Imu0_gyromag_mean,Imu0_gyromag_std,Imu0_gyromag_rms,Imu0_gyromag_max,Imu0_gyromag_median,Imu1_acc_x_mean,Imu1_acc_x_std,Imu1_acc_x_rms,Imu1_acc_x_max,Imu1_acc_x_median,Imu1_acc_y_mean,Imu1_acc_y_std,Imu1_acc_y_rms,Imu1_acc_y_max,Imu1_acc_y_median,Imu1_acc_z_mean,Imu1_acc_z_std,Imu1_acc_z_rms,Imu1_acc_z_max,Imu1_acc_z_median,Imu1_gyro_x_mean,Imu1_gyro_x_std,Imu1_gyro_x_rms,Imu1_gyro_x_max,Imu1_gyro_x_median,Imu1_gyro_y_mean,Imu1_gyro_y_std,Imu1_gyro_y_rms,Imu1_gyro_y_max,Imu1_gyro_y_median,Imu1_gyro_z_mean,Imu1_gyro_z_std,Imu1_gyro_z_rms,Imu1_gyro_z_max,Imu1_gyro_z_median,Imu1_accmag_mean,Imu1_accmag_std,Imu1_accmag_rms,Imu1_accmag_max,Imu1_accmag_median,Imu1_gyromag_mean,Imu1_gyromag_std,Imu1_gyromag_rms,Imu1_gyromag_max,Imu1_gyromag_median,corr_acc_W_F,corr_gyr_W_F,ratio_acc_rms_F_over_W,ratio_gyr_rms_F_over_W
slide_left_001.csv,slide_left_001,1,206.125,403.173898843084,452.8097926650144,1056.0,215.5,-543.375,228.89058749032617,589.6162240531265,-108.0,-534.0,877.875,363.9022662405389,950.3101467415784,1527.0,864.5,-2722.8333333333335,6509.326102259401,7055.859101956803,13895.0,-1819.0,5006.541666666667,11277.382113398358,12338.752238037145,25012.0,5451.0,-7673.083333333333,7332.64147446577,10613.380179440164,1318.0,-7308.0,1162.8947543091915,321.6351432915327,1206.5543398454956,1716.505170397107,1092.8780866973266,14870.115752310225,9672.303283322024,17739.04713595594,30167.451367326343,14147.860189429906,906.1666666666666,545.2413583807532,1057.5566966676854,1999.0,766.5,-55.75,553.7472535673052,556.5465688811075,1999.0,-143.0,400.1666666666667,600.9506126870068,721.9937672861172,992.0,492.0,-4371.666666666667,10357.029189825089,11241.864751158206,12224.0,-3186.5,-1615.5416666666667,13111.8155270325,13210.96821931181,23452.0,38.0,-2399.4583333333335,14513.567325032944,14710.575678458905,25012.0,-375.5,1272.42942388052,574.7770100161345,1396.225357884607,3300.334982997938,1099.4255576683618,19785.403627613527,11218.201480588772,22744.455174100494,43323.20950714524,18901.89864771392,0.206050631716404,0.8069732293912342,1.1572005601191926,1.2821689349929974
slide_left_002.csv,slide_left_002,1,277.625,663.5329565100742,719.2715933498278,1999.0,303.0,-176.75,620.8310458570834,645.5011618889621,1389.0,-254.5,-893.7916666666666,657.7594531923421,1109.7346717421542,397.0,-847.5,2744.125,13516.815534463298,13792.553215715114,25012.0,335.0,-9589.041666666666,16716.757289915127,19271.73304025873,25012.0,-15173.5,-2146.125,9117.812129345595,9366.981933454696,25012.0,-2439.5,1353.3987639420643,577.7942561386002,1471.575487926687,2827.790833848925,1216.3008972347357,23727.742096201644,9293.482885395568,25482.828907423132,42504.16187857372,26854.844470561817,840.875,592.5508636747285,1028.6823084250389,1999.0,886.5,15.625,743.9829082098146,744.1469668911735,1578.0,-61.0,-690.125,847.7292862160263,1093.1228011222404,1731.0,-715.0,6773.916666666667,15372.159111297788,16798.488704344803,25012.0,7749.0,-5818.083333333333,19232.810764673013,20093.558758550793,25012.0,-13050.0,-592.0416666666666,17446.341277087216,17456.38385495881,25012.0,610.0,1597.1994187477785,505.7800659230184,1675.368454499885,2707.8561630928625,1610.6238438658263,30206.84090702439,8843.77894583066,31474.84175694931,43323.20950714524,31647.090424075737,0.0749586424612991,0.1706256831859523,1.1384862470488584,1.235139233218313
slide_left_003.csv,slide_left_003,1,-61.708333333333336,365.94255914996035,371.1089799506339,1196.0,-136.0,-920.9583333333334,297.51743354615184,967.8227497842772,-107.0,-923.5,-231.54166666666663,376.409681416258,441.9228345160122,525.0,-223.5,-1034.9583333333333,8395.922872041161,8459.471592540518,25012.0,-1020.5,4952.166666666667,13451.011373581625,14333.65486073481,23998.0,8275.5,79.33333333333333,11452.810410792434,11453.085177511486,14287.0,3698.0,1095.829715625936,262.40384146930273,1126.8090085132735,1989.80024123026,1021.2075647685184,16082.627237455506,12228.596915266044,20203.69969522909,43323.20950714524,16228.176468692784,230.04166666666663,799.6069075472161,832.0398878659604,1999.0,-15.0,-888.4166666666666,625.9946030562528,1086.808822501302,1103.0,-925.0,214.70833333333337,993.166756691555,1016.1101687317176,1999.0,261.5,-959.5,9134.45254243515,9184.708133631684,22848.0,-139.5,6928.75,15135.88459106922,16646.39837672602,25012.0,10214.5,-2131.4166666666665,8274.655017565517,8544.755857639624,12805.0,-1069.0,1478.128769343393,849.1519345241185,1704.6769977525555,3463.5243611096485,1105.6594438677823,17135.300026113473,11868.268117059417,20844.046993886128,43323.78684972033,17074.00803603942,0.6499452435979147,0.8906958687145469,1.5128357910452062,1.03169455635926
slide_left_004.csv,slide_left_004,1,-87.45833333333333,654.5764520644034,660.3932856008355,1999.0,-212.5,-887.4583333333334,325.6392404648978,945.3164593580996,-276.0,-889.5,-250.58333333333337,494.6982174911174,554.5433556840559,743.0,-230.0,1533.6666666666667,11023.470829955912,11129.647010724704,25012.0,2045.5,4831.791666666667,13675.553849171783,14504.0333628845,18592.0,9479.0,2594.9166666666665,11929.936877859926,12208.889647165572,16603.0,6494.5,1180.0804491064673,494.64226160934913,1279.5549356449426,2618.068371910864,999.2972270034276,18980.90388010584,11091.361534358608,21983.926236950185,43323.78684972033,18629.516410609725,362.875,877.9235118780755,949.9620825766328,1999.0,19.0,-821.4166666666666,762.3022648894306,1120.6382482020383,1999.0,-981.5,107.91666666666669,1051.1570179515943,1056.6821108229915,1999.0,85.0,2112.6666666666665,9046.283595426848,9289.704372763072,25012.0,2182.0,9982.75,16038.472730308,18891.477048746965,25012.0,15371.5,-1549.75,10405.60350744572,10520.37591612898,25012.0,-251.5,1588.4366604142688,867.0087086367502,1809.6505532836995,3462.9470108565047,1173.2358531453208,20783.293863893075,11041.717167198129,23534.33283170214,43323.78684972033,21760.445774209104,0.6705128871944402,0.7710959730151505,1.4142812495738255,1.070524554078288
slide_left_005.csv,slide_left_005,1,-124.0,553.8923631898168,567.6026338909995,1999.0,-192.0,-910.4166666666666,310.3441526040978,961.8586174693244,-43.0,-972.0,-247.95833333333337,453.55801532316553,516.9121862882837,788.0,-210.0,870.8333333333334,9534.167734463712,9573.855288405675,25012.0,1672.5,3409.5416666666665,11499.633023054716,11994.437629237424,14050.0,7213.0,865.5416666666666,10861.65178498482,10896.083786159135,12954.0,4116.5,1152.0005981840754,432.94061961990303,1230.6676880187167,2901.327110134257,1036.330792962836,15315.824008422924,10939.62595078168,18821.5270634452,43323.78684972033,12736.230099413126,214.58333333333337,842.14957681057,869.0580628857123,1999.0,-40.5,-822.4583333333334,815.0322580102104,1157.892608002429,1999.0,-963.5,134.41666666666666,933.1332486425624,942.7648169082256,1999.0,266.5,1672.0833333333333,10735.743860723183,10865.176432836544,25012.0,2865.0,7559.708333333333,15273.082303187217,17041.603009253562,25012.0,7639.5,-644.4583333333334,7663.362316781316,7690.412767964192,9056.0,1626.5,1509.6443127949594,840.0933026629652,1727.6523690642553,3462.3695643301858,1146.0824119698782,18294.012477836888,11529.95438169994,21624.309019789125,43323.78684972033,19802.454612951984,0.6198814371825457,0.7721526035672835,1.4038333710087432,1.1489136320817606
slide_left_006.csv,slide_left_006,1,-3.0833333333333335,564.1007531657995,564.1091797397617,1999.0,-83.0,-922.5,361.062783090882,990.64251036049,167.0,-961.0,-214.0,452.1314336930505,500.2187854662531,843.0,-152.0,-335.3333333333333,7714.09187605529,7721.3769443452675,18170.0,1112.5,2307.1666666666665,12259.427374700485,12474.637372819034,14793.0,5692.5,982.125,10882.932112228533,10927.157950491975,16183.0,3691.5,1173.7408714309051,414.9011328810182,1244.9138859107215,2669.8677869887115,1035.604092472895,14664.741377306456,10935.464357388571,18293.141347920537,41333.88757424107,13778.474562359595,320.4166666666667,784.2028817354742,847.1369428846791,1999.0,7.5,-896.2083333333334,467.0880519386991,1010.6238790964718,372.0,-945.5,25.0,1016.0488013214064,1016.3563187517784,1999.0,206.5,251.58333333333337,9093.050276248829,9096.529970268884,25012.0,1462.5,5190.25,14850.852394868338,15731.704037283012,25012.0,5732.5,-931.2916666666666,8770.076075682804,8819.384249575854,25012.0,-1327.0,1475.1315539773034,771.9900842155763,1664.9269628625354,3268.382168596567,1127.441640703503,15884.239867836188,12478.214286482533,20199.3789003111,43323.78684972033,9927.973672226351,0.7674300135993394,0.796555321873918,1.337383237269632,1.1042050414488351
slide_left_007.csv,slide_left_007,1,-121.70833333333331,522.229074829449,536.2239504162417,1999.0,-153.5,-864.0833333333334,457.5767619269532,977.7609626079372,649.0,-962.5,-254.625,501.49142668810066,562.4300326855481,502.0,-134.5,1067.6666666666667,10244.0058353925,10299.4935636014,24693.0,1866.0,2888.25,11510.090103361485,11866.935672278669,13509.0,7068.0,1107.4166666666667,10466.355486019103,10524.778802109491,13872.0,3862.5,1152.456190697399,481.3781208051595,1248.951627032315,2795.0593911400165,1005.4187926510187,15802.670229752928,10389.913972679493,18912.28962209494,43323.78684972033,12375.786236765816,287.0833333333333,785.7918467309831,836.5916965083186,1999.0,18.5,-714.5833333333334,912.127225988178,1158.7085123820686,1999.0,-935.5,120.91666666666669,932.5874363237416,940.3936232592534,1999.0,167.5,-76.04166666666667,10747.71440229335,10747.983401937934,25012.0,1350.5,6812.416666666667,16635.61556800315,17976.44920908094,25012.0,10261.5,-613.5833333333334,11936.105995105308,11951.866416310606,25012.0,-522.0,1463.3271072862044,886.287214779379,1710.798424712859,3463.5243611096485,1085.628907383075,20348.53443259999,12940.48417384859,24114.704729860023,43323.78684972033,18314.520028066323,0.6745474591876949,0.781640635935601,1.3697875783841105,1.275081188566714
slide_left_008.csv,slide_left_008,1,-117.58333333333331,453.46608809871947,468.4627341991392,864.0,-54.0,-924.5416666666666,202.60141064963548,946.48012393288,-259.0,-964.0,-157.0,336.7625276066207,371.5615695951346,446.0,-163.5,383.5,8713.15068349752,8721.586271048021,24509.0,1269.5,3954.7083333333335,14648.653022488585,15173.093072112884,25012.0,6585.0,1587.375,11279.121548287423,11390.27402179889,10751.0,6250.5,1092.227738460825,245.72042176035148,1119.5266670934343,1914.2155051090776,1003.454940732682,17068.692576302372,12028.58663707754,20881.263437589212,43323.78684972033,12671.217210879928,420.0416666666667,767.3478393774378,874.7900938701429,1999.0,179.0,-819.8333333333334,743.204361008614,1106.561980490323,1542.0,-928.5,104.70833333333331,963.1273054987188,968.8023749282754,1999.0,206.5,1550.5833333333333,8756.27676734746,8892.507604719829,25012.0,1868.5,9277.75,17292.038541985152,19623.7417940616,25012.0,17411.5,-979.7083333333334,7738.679142674407,7800.447634057078,11714.0,1366.5,1523.9476826112452,778.3949044864576,1711.2320610211425,3343.4498650346172,1202.7034604703797,20611.687611164445,10008.658781846689,22913.20398354771,43323.78684972033,20775.15107498335,0.6676742332193859,0.8619786606690976,1.528531754819554,1.0973092721151931
slide_left_009.csv,slide_left_009,1,-178.91666666666666,372.6166390839548,413.3452955258271,916.0,-120.0,-883.125,350.11930258365743,949.9964692916844,-59.0,-960.0,-95.875,382.5763880695375,394.4067802831657,518.0,-18.5,1260.25,9252.519964177329,9337.95243883797,12174.0,2163.0,860.9166666666666,11858.442495105428,11889.652472493326,17525.0,4417.0,405.625,10726.604214958945,10734.27080080431,12551.0,2858.0,1068.4745872234823,295.40885191703785,1108.5595759061996,2292.3459599283874,994.1084819752548,15117.807580155855,10734.880309581882,18541.460602974803,43323.78684972033,12503.754473922856,153.16666666666666,788.2035834027201,802.9476425438128,1999.0,-56.5,-652.8333333333334,870.5214752600242,1088.1171811895997,1897.0,-867.5,264.9583333333333,880.942273892311,919.9251101765476,1999.0,307.5,1166.0416666666667,10153.44026048629,10220.176235841858,25012.0,1892.5,4705.458333333333,15075.819062821449,15793.088948703691,25012.0,7325.5,-721.125,11818.228555613076,11840.2089279849,25012.0,-1818.0,1375.4362004300776,884.9640577709758,1635.5384816628437,3463.5243611096485,1025.961824318848,18187.690020480328,12777.798715372965,22227.55515776908,43323.78684972033,12940.706717477442,0.5124549928008376,0.8947159630287718,1.4753726522315107,1.198802814606832
slide_left_010.csv,slide_left_010,1,-178.91666666666666,589.3156282691153,615.8766786730387,1999.0,-157.0,-867.0833333333334,379.8768349376179,946.6466693897288,-336.0,-950.0,-185.45833333333337,544.1086732114173,574.8469723906238,518.0,-53.0,2943.9166666666665,11298.915382743113,11676.135241023318,20667.0,5072.5,3040.25,12378.58393304743,12746.468540344811,16743.0,7046.0,-467.4166666666667,11394.05253087719,11403.635885833372,18364.0,1229.5,1159.8807176169448,510.460343775173,1267.23835234997,2680.294013723121,997.583952902427,17391.082783540132,11242.675190958218,20708.633606139578,43323.78684972033,15733.497105764947,208.5,819.340486814446,845.4531822243816,1999.0,10.0,-720.3333333333334,764.3409833895399,1050.2843662551586,1634.0,-977.0,50.25,1030.4159859817134,1031.640522016592,1999.0,240.0,1271.375,11273.294031369373,11344.758821073869,25012.0,2811.0,5465.333333333333,15152.80372754678,16108.300011174364,25012.0,7457.5,-4003.125,11470.770728655289,12149.2218217876,22434.0,-2478.0,1460.5707651446526,865.3921307735379,1697.6956441011446,3463.5243611096485,1212.984936092569,19745.082684724817,12079.577087245792,23147.018659718,43323.78684972033,15769.363069264604,0.6534208295053668,0.8709425741831249,1.3396813953362394,1.117747269083673
