timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
1568605,-547,58,852,-355,-60,-258,231,388,973,583,-612,177
1568645,-518,45,867,1093,110,745,247,447,972,1569,664,133
1568684,-540,107,876,515,219,383,233,424,956,205,-322,513
1568722,-523,67,866,-134,254,-211,250,400,998,14,594,-409
1568764,-533,72,855,370,440,17,226,422,951,180,574,-629
1568804,-544,103,836,-151,180,-346,219,399,953,-828,-640,398
1568845,-526,41,856,64,146,-329,261,385,983,522,404,-603
1568880,-529,82,864,313,452,-70,234,432,945,-241,261,-121
1568924,-541,48,837,-858,474,-615,235,397,987,-58,429,-594
1568964,-546,62,852,552,747,418,285,348,925,759,-360,122
1569002,-536,55,939,-2254,3077,483,298,367,425,1888,-8317,2153
1569044,-589,7,949,954,8730,2112,1003,-430,-2000,-707,-25013,6332
1569085,-554,147,723,-3077,10500,1453,371,1945,1999,-25013,19891,2882
1569122,-794,-11,718,1101,3219,3924,725,477,1999,-3241,9792,-858
1569168,-599,127,706,-418,1329,2541,598,435,773,-3117,601,-3200
1569207,-720,140,665,775,840,1681,550,322,715,1110,-1229,-1890
1569245,-664,138,721,-255,-779,-594,704,410,734,1528,-478,-114
1569284,-646,123,786,55,995,399,734,376,808,919,2467,-527
1569322,-694,184,761,-825,1751,-245,619,505,673,-1239,1464,1683
1569366,-739,228,745,-3719,794,-3487,790,330,888,-2114,-1177,9338
1569406,-684,243,781,-9250,3025,-8452,816,426,799,-10738,-1442,13742
1569442,-702,392,690,-18512,4526,-17800,687,436,768,-22009,-6361,25012
1569487,-562,-93,554,-24821,6260,-25013,733,27,790,-25013,-6932,25012
1569525,-450,-54,422,-25013,7383,-25013,722,-94,592,-25013,-12887,25012
