timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
2038121,-134,189,1018,1050,-272,329,930,417,113,137,-160,-263
2038162,-131,193,1004,-1372,-221,-855,896,442,88,-526,-293,2033
2038205,-134,233,981,-2919,-445,-2294,910,187,169,1231,-314,5799
2038244,-160,505,957,-17525,-3986,-10622,1258,368,479,-5589,763,25012
2038285,7,31,889,-25013,-6718,-16880,1359,327,665,-17096,17737,25012
2038321,7,-236,958,-25013,-6621,-15136,1456,108,960,-23738,25012,25012
2038366,173,-428,589,-25013,-8481,-13291,1516,157,405,-25013,25012,25012
2038402,257,-772,289,-25013,-5620,-10200,987,-116,421,-25013,25012,25012
2038441,308,-1044,-335,-25013,-4959,-1056,1089,-468,968,-25013,25012,25012
2038486,206,-1106,-893,-25013,2263,10396,254,467,-438,-25013,25012,15358
2038520,80,-671,-921,-25013,4042,7828,35,-89,-1658,-25013,25012,-970
2038564,67,-559,-888,-18208,3210,3892,396,-873,-157,-21225,22663,-4791
2038606,215,-588,-752,-11077,10714,7031,548,-1166,-2000,-2491,-25013,25012
2038641,260,-416,-833,-4272,19451,7229,1999,-2000,-2000,-22815,-25013,17648
2038680,406,-341,-911,1587,15570,3778,1416,1999,1999,6684,-25013,25012
2038721,289,-17,-1013,-3123,-591,-3600,-558,111,1746,-18784,-2258,3058
2038765,438,-517,-913,-2141,-80,-658,-825,-398,-56,-316,-5106,5223
2038803,365,-371,-894,-367,755,761,-911,-251,0,621,-3042,774
2038845,303,-458,-921,6466,707,1832,-967,150,129,-3822,1333,-14241
2038886,252,-791,-1070,25012,-1435,9069,-831,537,80,-661,6695,-25013
2038921,483,-977,-1130,25012,-1917,16316,88,143,-198,2793,10495,-25013
2038966,721,-1817,-1475,25012,-2600,25012,1999,-361,47,25012,19462,-25013
2039000,1242,-666,-1476,25012,-2525,25012,1999,-1146,383,25012,17952,-25013
2039046,558,1031,-33,25012,-4411,25012,494,229,-69,25012,4827,-25013
2039087,-156,1791,604,15283,-9841,19186,497,1481,185,6317,-8135,-4990
