timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
2167365,226,69,982,-25013,2001,-6722,1235,342,640,-24587,13509,23664
2167406,216,-331,848,-25013,2867,-6800,1254,193,799,-25013,8203,25012
2167444,231,-604,641,-25013,4333,-5769,1159,265,525,-25013,21198,25012
2167485,211,-891,394,-25013,4265,-3451,789,-83,19,-25013,22706,17770
2167523,219,-958,155,-25013,2815,-3071,675,-389,246,-25013,23888,8695
2167563,228,-1021,59,-25013,2083,-3270,618,-741,-230,-25013,19977,7438
2167605,306,-1194,-326,-25013,6261,-377,744,-1211,-56,-25013,7635,9841
2167645,330,-886,-550,-25013,12498,2474,382,-1231,-1374,-25013,3701,17699
2167684,348,-723,-687,-25013,17519,417,1770,-2000,-2000,-25013,-25013,25012
2167723,582,-274,-744,-19938,18144,-6147,1999,137,47,1554,-25013,25012
2167764,419,-947,-2000,-6347,11327,-2581,-2000,-2000,-2000,11680,-20261,25012
2167804,800,-427,-851,-6298,-4574,-311,-934,-657,-360,1750,-7110,8881
2167846,625,-330,-876,-6029,-4548,83,-1094,-183,-314,2952,-7257,3873
2167882,576,-591,-919,3498,-7264,4772,-1196,206,-291,9595,-1420,-22666
2167923,753,-1191,-1169,25012,-8608,25012,-557,229,-31,25012,4243,-25013
2167968,868,-1010,-1410,25012,-7104,25012,695,-361,466,25012,10400,-25013
2168005,777,-470,-1337,25012,-6133,25012,591,-616,419,25012,14084,-25013
2168046,411,358,-640,25012,-10699,25012,489,-414,114,25012,6415,-25013
2168085,-588,1098,909,25012,-11875,25012,1149,1999,782,22840,1288,-25013
2168126,-877,1286,1010,4064,100,125,644,732,567,-5428,-2048,149
2168165,-567,-211,676,3888,-1965,886,806,103,467,4991,83,-7700
2168206,-589,223,809,4673,-2735,7301,810,614,506,4552,259,-3111
2168245,-604,161,720,-919,98,79,654,299,491,45,225,1265
2168283,-617,19,676,-603,-1061,2285,720,422,488,3158,267,295
2168320,-627,210,772,146,-678,3683,743,565,526,2568,1144,215
